index,Components,RMSE,MAE,R^2
0,['0'],7.371824783282024,4.966714356074378,0.03467553970925996
1,"['0', '1']",7.31947309926254,4.848459768624443,0.0483375347566003
2,"['0', '1', '2']",7.305777319840778,4.902864510037292,0.05189559556752865
3,"['0', '1', '2', '3']",7.2826503478695015,4.752345007438153,0.05788868230155775
4,"['0', '1', '2', '3', '4']",7.251814290440016,5.035038932094678,0.06584993094704139
5,"['0', '1', '2', '3', '4', '5']",7.185703744778773,4.913617898088167,0.0828044933077825
6,"['0', '1', '2', '3', '4', '5', '6']",7.058811678166594,4.757180810777769,0.11491191654052102
7,"['0', '1', '2', '3', '4', '5', '6', '7']",7.036499676689615,4.923576215500418,0.12049837413013242
8,"['0', '1', '2', '3', '4', '5', '6', '7', '8']",7.04896227099965,4.488189495588002,0.11738018211507584
9,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']",6.937537009990475,4.546565132465077,0.14506336296860156
10,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",6.9270448699529945,4.360182059881127,0.14764737277742435
11,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",6.903806995005622,4.576819371372553,0.15335648582479422
12,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",6.8973466538409385,4.654973202402389,0.1549402632442396
13,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",6.893394964413427,4.6203206615300685,0.15590830419435153
14,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",6.868668892188028,4.416440727722487,0.16195282678025602
15,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",6.862929675784007,4.530528042265738,0.16335272674272094
16,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16']",6.861042112954027,4.712730439326554,0.16381288215636214
17,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",6.869485961143101,4.596292390940889,0.16175343354527671
18,"['0', '1']",7.332368955759835,4.822999231827912,0.044981196504024656
19,['1'],7.404945041465161,5.026091073875997,0.025982002354021594
20,"['1', '2']",7.377996941904065,5.041353460673033,0.03305840144833572
21,"['1', '2', '3']",7.35078891109676,5.036729125267222,0.04017688295444066
22,"['1', '2', '3', '4']",7.31340704025237,4.975755570044582,0.04991427353405242
23,"['1', '2', '3', '4', '5']",7.268386585984585,4.981250891900062,0.06157549713238131
24,"['1', '2', '3', '4', '5', '6']",7.1315834476048705,4.936350448832066,0.09656847897800236
25,"['1', '2', '3', '4', '5', '6', '7']",7.067005715528525,4.73428675242167,0.11285586105668188
26,"['1', '2', '3', '4', '5', '6', '7', '8']",7.0634634940410965,4.572241619088832,0.11374497126945815
27,"['1', '2', '3', '4', '5', '6', '7', '8', '9']",6.956281054310828,4.669249586588815,0.14043733544222137
28,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",6.9540822078182725,4.468563717795276,0.14098065668474347
29,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",6.979590575281306,4.805837958414406,0.13466713648121276
30,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",6.9238704195985985,4.4762052444312985,0.14842840745219077
31,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",6.929419615763375,4.809556494772458,0.14706286153911086
32,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",6.950096887876068,4.7859989256687285,0.14196496657318713
33,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",6.917384350811893,4.503620799649721,0.15002311230321363
34,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16']",6.931767740232871,4.278833000196133,0.1464847057873282
35,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",6.884255691317637,4.637793543218684,0.15814501649490242
36,"['0', '1', '2']",7.305991802224904,5.016959489706289,0.051839926014748294
37,"['1', '2']",7.380955196161436,5.063456966803513,0.032282843371366665
38,['2'],7.4980745522312935,5.049432165397742,0.0013281439987710142
39,"['2', '3']",7.458292211712449,5.04303248182265,0.011897286160464704
40,"['2', '3', '4']",7.415930757517414,5.08085236309801,0.02308982087925404
41,"['2', '3', '4', '5']",7.367263593391039,5.059693688218238,0.03586972599289939
42,"['2', '3', '4', '5', '6']",7.2418449003232155,4.806849632930671,0.0684166003792438
43,"['2', '3', '4', '5', '6', '7']",7.070502083040464,4.676694514627431,0.11197782320963923
44,"['2', '3', '4', '5', '6', '7', '8']",7.168232605981124,5.111602009023651,0.08725916326043703
45,"['2', '3', '4', '5', '6', '7', '8', '9']",6.986523012204227,4.5896094011305095,0.13294730933728038
46,"['2', '3', '4', '5', '6', '7', '8', '9', '10']",7.025901622302439,5.021416189738474,0.12314570932682323
47,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",6.943021519673713,4.761689912312729,0.14371107852550224
48,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",6.9310117731600265,4.777845590605988,0.14667086155565345
49,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",6.898624559870002,4.522280695138344,0.1546270973192514
50,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",6.925009788260594,4.53942154728586,0.14814812091935714
51,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",6.923238967698785,4.666747622354309,0.14858372577770096
52,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16']",6.908573797245974,4.349986094454844,0.15218693532140937
53,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",6.885738446925187,4.5186821987227965,0.15778233396786578
54,"['0', '1', '2', '3']",7.27170868043468,4.828413204453649,0.060717467018717386
55,"['1', '2', '3']",7.362466419065301,4.817630665509803,0.03712489899637439
56,"['2', '3']",7.451585517024021,5.04892165177379,0.013673543644269204
57,['3'],7.466430095662218,5.113652384402383,0.009739834597397135
58,"['3', '4']",7.446680428108808,5.026321891821162,0.014971636947217148
59,"['3', '4', '5']",7.403670873476952,5.071799112808996,0.02631717183086424
60,"['3', '4', '5', '6']",7.3086770424929375,4.802642863624054,0.05114282545269366
61,"['3', '4', '5', '6', '7']",7.170946302275353,4.848980303339877,0.08656795514655313
62,"['3', '4', '5', '6', '7', '8']",7.139685094068598,4.908065926493548,0.09451467415892534
63,"['3', '4', '5', '6', '7', '8', '9']",7.036720342325394,4.690204193953701,0.12044321067174246
64,"['3', '4', '5', '6', '7', '8', '9', '10']",6.986583828542306,4.665841184087454,0.13293221421801082
65,"['3', '4', '5', '6', '7', '8', '9', '10', '11']",6.991561521558257,4.582439597637358,0.13169626404120505
66,"['3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",6.987650519889517,4.417082909668058,0.13266743121897095
67,"['3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",6.958021445271513,4.413543504262564,0.1400071739180525
68,"['3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",6.965271710453243,4.7906136405230875,0.13821401342772321
69,"['3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",6.903521454194681,4.5847323477986635,0.1534265185694479
